Date,Open,High,Low,Close,% Change IBEX
13/04/2009,8688.299805,9030.900391,8662.900391,9030.900391,3.75
20/04/2009,8988.299805,9018.099609,8413.599609,8888.200195,-1.58
27/04/2009,8739.900391,9100.799805,8503.700195,9038,1.69
04/05/2009,9048.099609,9443.900391,8927.599609,9408.099609,4.09
11/05/2009,9457.599609,9460.299805,8838.5,8978.599609,-4.57
18/05/2009,8879.5,9449.400391,8828.5,9308.599609,3.68
25/05/2009,9336.799805,9555.599609,9175.599609,9424.299805,1.24
01/06/2009,9554.799805,9713.599609,9375.299805,9519,1.00
08/06/2009,9485,9741.200195,9341.900391,9714.400391,2.05
15/06/2009,9673.5,9679.400391,9200.700195,9580.900391,-1.37
22/06/2009,9566.799805,9789.400391,9285,9686.900391,1.11
29/06/2009,9642.400391,9929.400391,9591,9707.799805,0.22
06/07/2009,9627.599609,9683.299805,9324.599609,9344.900391,-3.74
13/07/2009,9295.299805,10125.79981,9241.200195,10041.90039,7.46
20/07/2009,10136.90039,10496.79981,10046.59961,10438.59961,3.95
27/07/2009,10535.90039,10932.90039,10488.2002,10855.09961,3.99
03/08/2009,10809.90039,10984,10672.59961,10947.59961,0.85
10/08/2009,10934.2002,11144.09961,10737.7002,10901.90039,-0.42
17/08/2009,10857.40039,11193.90039,10511.90039,11161,2.38
24/08/2009,11239.79981,11522.79981,11189.7002,11442.7002,2.52
31/08/2009,11359.79981,11481.40039,10874.40039,11222.7002,-1.92
07/09/2009,11328.2002,11531.40039,11260,11452.59961,2.05
14/09/2009,11343.5,11837.7002,11283,11777.29981,2.84
21/09/2009,11772.29981,11900.90039,11561,11643.79981,-1.13
28/09/2009,11622,11938.2002,11268.5,11326.7002,-2.72
05/10/2009,11322.2002,11907.5,11271,11743.2002,3.68
12/10/2009,11760.7002,11952.90039,11542.09961,11676.40039,-0.57
19/10/2009,11747.7002,11960.40039,11644.90039,11739.79981,0.54
26/10/2009,11796.79981,11833.2002,11357.7002,11414.79981,-2.77
02/11/2009,11354,11627.7002,11179.90039,11580.59961,1.45
09/11/2009,11654.7002,11916.40039,11653.79981,11867,2.47
16/11/2009,11943,12102.59961,11702.2002,11719.29981,-1.24
23/11/2009,11845.90039,12021.5,11415.79981,11776.79981,0.49
30/11/2009,11839.40039,12055.29981,11603.59961,12032.2002,2.17
07/12/2009,11975.79981,12065,11468.7002,11616,-3.46
14/12/2009,11705.40039,11875.2002,11592.40039,11645,0.25
21/12/2009,11696.90039,11990.40039,11656.79981,11967.5,2.77
28/12/2009,12014,12070.90039,11923,11940,-0.23
04/01/2010,11986.5,12240.5,11986.09961,12163,1.87
11/01/2010,12192.5,12233.90039,11818.59961,11845,-2.61
18/01/2010,11888.5,12049.2002,11204.5,11373.40039,-3.98
25/01/2010,11275.40039,11385.5,10821.2002,10947.7002,-3.74
01/02/2010,10852.40039,11201.59961,9916.599609,10103.29981,-7.71
08/02/2010,10132.09961,10557.40039,9970.900391,10224.90039,1.20
15/02/2010,10298.5,10676.7002,10230.40039,10676.7002,4.42
22/02/2010,10752.5,10773.59961,10047.2002,10333.59961,-3.21
01/03/2010,10434.7002,11032.79981,10287.59961,11019.79981,6.64
08/03/2010,11103.09961,11181.29981,10911.09961,11077,0.52
15/03/2010,11069.90039,11190,10921.09961,10990.79981,-0.78
22/03/2010,10959.59961,11124,10694.2002,11071.09961,0.73
29/03/2010,11108.2002,11166.40039,10774,11067.90039,-0.03
05/04/2010,11143.2002,11408.5,10968.2002,11394.2002,2.95
