Date,Open,High,Low,Close,% Change HS
30/09/2013,22946.74023,23241.5,22845.43945,23138.53906,-0.30
07/10/2013,23152.91992,23336.58984,22743.4707,23218.32031,0.34
14/10/2013,23399.78906,23411.21094,23073.88086,23340.09961,0.52
21/10/2013,23494.36914,23534.66992,22640.17969,22698.33984,-2.75
28/10/2013,22753.75,23336.98047,22753.75,23249.78906,2.43
04/11/2013,23322.07031,23345.92969,22686.57031,22744.39063,-2.17
11/11/2013,22781.99023,23124.30078,22463.40039,23032.15039,1.27
18/11/2013,23397.73047,23856.90039,23390.66016,23696.2793,2.88
25/11/2013,23829.9707,24014.81055,23649.80078,23881.28906,0.78
02/12/2013,23936.15039,24111.55078,23563.21094,23743.09961,-0.58
09/12/2013,23970,23970,23017.33984,23245.96094,-2.09
16/12/2013,23138.2793,23404.44922,22713.69922,22812.17969,-1.87
23/12/2013,22946.55078,23283.31055,22862.89063,23243.24023,1.89
30/12/2013,23353.53906,23469.33008,22782.41992,22817.2793,-1.83
06/01/2014,22732.83008,23044.9707,22567.76953,22846.25,0.13
13/01/2014,23046.41016,23263.41992,22637.55078,23133.34961,1.26
20/01/2014,23048.13086,23139.65039,22435.7207,22450.06055,-2.95
27/01/2014,22019.09961,22222.69922,21746.23047,22035.41992,-1.85
03/02/2014,21561.69922,21703.68945,21197.7793,21636.84961,-1.81
10/02/2014,21646.75,22412.74023,21524.81055,22298.41016,3.06
17/02/2014,22463.40039,22742.7207,22297.84961,22568.24023,1.21
24/02/2014,22576.34961,22986.69922,22258.89063,22836.96094,1.19
03/03/2014,22630.76953,22839.42969,22487.23047,22660.49023,-0.77
10/03/2014,22339.41992,22388.46094,21462.49023,21539.49023,-4.95
17/03/2014,21494.36914,21614.5293,21137.60938,21436.69922,-0.48
24/03/2014,21657.55078,22143.24023,21590.07031,22065.5293,2.93
31/03/2014,22244.16016,22722.24023,22043.50977,22510.08008,2.01
07/04/2014,22416.4707,23224.53906,22326.41016,23003.64063,2.19
14/04/2014,22911.82031,23090.93945,22627.50977,22760.24023,-1.06
21/04/2014,22718.68945,22855.25977,22213.74023,22223.5293,-2.36
28/04/2014,22122.38086,22474.18945,22096.94922,22260.66992,0.17
05/05/2014,22195.80078,22284.56055,21680.33008,21862.99023,-1.79
12/05/2014,21921.58984,22792.63086,21796.90039,22712.91016,3.89
19/05/2014,22751.24023,23053.2793,22555.9707,22965.85938,1.11
26/05/2014,23055.4707,23209.25977,22886.46094,23081.65039,0.50
02/06/2014,23327.50977,23327.50977,22950.66992,22951,-0.57
09/06/2014,23086.93945,23397.76953,23053.38086,23319.16992,1.60
16/06/2014,23299.03906,23340.41992,23122.75,23194.06055,-0.54
23/06/2014,23165.25977,23393.81055,22802.09961,23221.51953,0.12
30/06/2014,23273.18945,23626.14063,22960.08008,23546.35938,1.40
07/07/2014,23581.40039,23592.38086,23126.67969,23233.44922,-1.33
14/07/2014,23310.16016,23583.34961,23240.60938,23454.78906,0.95
21/07/2014,23484.5293,24247.19922,23372.63086,24216.00977,3.25
28/07/2014,24249.26953,24912.2207,24248.35938,24532.42969,1.31
04/08/2014,24590.10938,24690.59961,24190.92969,24331.41016,-0.82
11/08/2014,24533.33984,25010.31055,24491.01953,24954.93945,2.56
18/08/2014,24943.59961,25201.21094,24765.0293,25112.23047,0.63
25/08/2014,25049.96094,25243.16016,24630.80078,24742.06055,-1.47
01/09/2014,24703.74023,25362.98047,24576.23047,25240.15039,2.01
08/09/2014,25293.08984,25293.08984,24487.93945,24595.32031,-2.55
15/09/2014,24410.38086,24471.80078,24103.5293,24306.16016,-1.18
22/09/2014,24072.17969,24082.61914,23555.61914,23678.41016,-2.58
29/09/2014,23399.50977,23399.50977,22565.59961,23064.56055,-2.59
06/10/2014,23053.78906,23581.34961,22988.64063,23088.53906,0.10
13/10/2014,22884,23409.96094,22868.01953,23023.21094,-0.28
20/10/2014,23239.7793,23460.76953,22964.91992,23302.19922,1.21
27/10/2014,23275.40039,24046.40039,23012.80078,23998.06055,2.99
03/11/2014,24133.44922,24133.44922,23430.19922,23550.24023,-1.87
10/11/2014,24074.84961,24110.24023,23703.7207,24087.38086,2.28
17/11/2014,24313.06055,24313.06055,23252.63086,23437.11914,-2.70
24/11/2014,23883.32031,24228.10938,23799.41992,23987.44922,2.35
01/12/2014,23678,24170.05078,23293.81055,24002.64063,0.06
08/12/2014,24113.14063,24189.58984,23169.66992,23249.19922,-3.14
15/12/2014,22977.83984,23189.59961,22529.75,23116.63086,-0.57
22/12/2014,23264.05078,23495.61914,23264.05078,23349.33984,1.01
29/12/2014,23694.5293,23998.90039,23442.55078,23721.30078,1.59
05/01/2015,23699.18945,24169.06055,23312.5,23919.94922,0.84
12/01/2015,24118.58984,24369,23905.00977,24103.51953,0.77
19/01/2015,23971.23047,24896.2207,23590.05078,24850.44922,3.10
26/01/2015,24907.18945,24995.08008,24450.05078,24507.05078,-1.38
02/02/2015,24347.26953,25048.25977,24324.36914,24679.39063,0.70
09/02/2015,24529.55078,24702.53906,24226.28906,24682.53906,0.01
16/02/2015,24717.49023,24871.78906,24653.88086,24832.08008,0.61
23/02/2015,24916.24023,25101.96094,24664.67969,24823.28906,-0.04
02/03/2015,24996.75977,24997.83008,24126.08984,24164,-2.66
09/03/2015,23982.5,24205.85938,23677.06055,23823.21094,-1.41
16/03/2015,23771.40039,24524.55078,23711.26953,24375.24023,2.32
23/03/2015,24538.33984,24613.68945,24294.94922,24486.19922,0.46
30/03/2015,24727.46094,25297.80078,24725.51953,25275.64063,3.22
06/04/2015,25214.33008,27922.66992,25152.57031,27272.39063,7.90
13/04/2015,27374.33008,28031.96094,27304.11914,27653.11914,1.40
20/04/2015,27770.78906,28213.63086,26959.76953,28060.98047,1.47
27/04/2015,28245.14063,28588.51953,27997.90039,28133,0.26
04/05/2015,28231.25977,28343.74023,27207.2793,27577.33984,-1.98
11/05/2015,27837.03906,27928.59961,27191.0293,27822.2793,0.89
18/05/2015,27792.43945,28041.32031,27393.31055,27992.83008,0.61
25/05/2015,28462.32031,28524.59961,27242.10938,27424.18945,-2.03
01/06/2015,27373.06055,27854.74023,27094.5,27260.16016,-0.60
08/06/2015,27147.24023,27428.58984,26573.96094,27280.53906,0.07
15/06/2015,27095.17969,27131.35938,26553.03906,26760.5293,-1.91
22/06/2015,26854.32031,27470.5,26522.44922,26663.86914,-0.36
29/06/2015,26560.13086,26631.50977,25617.7793,26064.10938,-2.25
06/07/2015,26083.99023,26261.5293,22836.82031,24901.2793,-4.46
13/07/2015,24709.58008,25517.44922,24596.43945,25415.26953,2.06
20/07/2015,25540.31055,25634.32031,25073.19922,25128.50977,-1.13
27/07/2015,24906.7793,24947.34961,24140.61914,24636.2793,-1.96
03/08/2015,24533.14063,24641.92969,24217.7793,24552.4707,-0.34
10/08/2015,24433.66016,24924.07031,23826.96094,23991.0293,-2.29
17/08/2015,23945.59961,24024.36914,22185.84961,22409.61914,-6.59
24/08/2015,21605.9707,22424.40039,20865.25977,21612.39063,-3.56
31/08/2015,21793.01953,21793.01953,20715.01953,20840.60938,-3.57
07/09/2015,20683.31055,22228.58984,20524.88086,21504.36914,3.18
14/09/2015,21678.88086,22203.35938,21411.16992,21920.83008,1.94
21/09/2015,21614.42969,22111.66992,20957.99023,21186.32031,-3.35
28/09/2015,20579.2207,21530.80078,20368.11914,21506.08984,1.51
05/10/2015,21930.9707,22807.85938,21719.28906,22458.80078,4.43
