Date,Open,High,Low,Close,% Change NK
08/09/2014,15718.12988,15984.90039,15656.40039,15948.29004,1.78
15/09/2014,15948.29004,16364.08008,15871.12012,16321.16992,2.34
22/09/2014,16281.36035,16374.13965,16087.9502,16229.86035,-0.56
29/09/2014,16339.03027,16344.32031,15559.07031,15708.65039,-3.21
06/10/2014,15882.28027,15970.65039,15221.83008,15300.54981,-2.60
13/10/2014,15300.54981,15300.54981,14529.03027,14532.50977,-5.02
20/10/2014,14822.83984,15377.04981,14761.83984,15291.63965,5.22
27/10/2014,15404.28027,16533.91016,15263.36035,16413.75977,7.34
03/11/2014,16732.84961,17127.66016,16720.99023,16880.38086,2.84
10/11/2014,16758.26953,17520.53906,16713.36914,17490.83008,3.62
17/11/2014,17381.38086,17472.57031,16907.42969,17357.50977,-0.76
24/11/2014,17357.50977,17490.39063,17212.48047,17459.84961,0.59
01/12/2014,17475.09961,17922.28906,17474.26953,17920.44922,2.64
08/12/2014,18004.66016,18030.83008,17043.63086,17371.58008,-3.06
15/12/2014,17111.49023,17621.40039,16672.93945,17621.40039,1.44
22/12/2014,17685.5293,17875.41016,17572.61914,17818.96094,1.12
29/12/2014,17914.55078,17914.55078,17450.76953,17450.76953,-2.07
05/01/2015,17325.67969,17540.91992,16808.25977,17197.73047,-1.45
12/01/2015,16970.88086,17141.98047,16592.57031,16864.16016,-1.94
19/01/2015,17000.7793,17532.06055,16911.58008,17511.75,3.84
26/01/2015,17285.71094,17850.58984,17285.71094,17674.39063,0.93
02/02/2015,17536.60938,17743.10938,17271.86914,17648.5,-0.15
09/02/2015,17790.31055,18005.44922,17550.0293,17913.35938,1.50
16/02/2015,18024.00977,18360.91992,17901.25977,18332.30078,2.34
23/02/2015,18499.58008,18865.39063,18402.01953,18797.93945,2.54
02/03/2015,18869.40039,18979.64063,18586.83984,18971,0.92
09/03/2015,18872.96094,19335.80078,18577.06055,19254.25,1.49
16/03/2015,19245.38086,19565.43945,19226.71094,19560.2207,1.59
23/03/2015,19607.98047,19778.59961,19099.86914,19285.63086,-1.40
30/03/2015,19295.21094,19607.25,18927.94922,19435.08008,0.77
06/04/2015,19295.0293,20006,19241.28906,19907.63086,2.43
13/04/2015,19967.38086,19975.66016,19638.36914,19652.88086,-1.28
20/04/2015,19501,20252.11914,19474.23047,20020.03906,1.87
27/04/2015,20063.80078,20133.7793,19399.16016,19531.63086,-2.44
04/05/2015,19510.84961,19549.39063,19257.84961,19379.18945,-0.78
11/05/2015,19637.58008,19791.88086,19467.65039,19732.91992,1.83
18/05/2015,19766.16016,20320.90039,19741.2207,20264.41016,2.69
25/05/2015,20331.91992,20655.33008,20318.53906,20563.15039,1.47
01/06/2015,20444.53906,20619.60938,20363.17969,20460.90039,-0.50
08/06/2015,20537.84961,20544.93945,20016.32031,20407.08008,-0.26
15/06/2015,20205.09961,20401.48047,19990.55078,20174.24023,-1.14
22/06/2015,20174.14063,20952.71094,20174.14063,20706.15039,2.64
29/06/2015,20305.9707,20601.73047,20093.16016,20539.78906,-0.80
06/07/2015,20200.15039,20428,19115.19922,19779.83008,-3.70
13/07/2015,19929.91992,20658.94922,19911.39063,20650.91992,4.40
20/07/2015,20763.31055,20850,20527.7793,20544.5293,-0.52
27/07/2015,20374.05078,20585.24023,20070.61914,20585.24023,0.20
03/08/2015,20540.21094,20817.48047,20396.5,20724.56055,0.68
10/08/2015,20618.31055,20946.92969,20303.01953,20519.44922,-0.99
17/08/2015,20600.16016,20668.86914,19435.83008,19435.83008,-5.28
24/08/2015,19075.05078,19192.82031,17714.30078,19136.32031,-1.54
31/08/2015,19006.98047,19019.60938,17608.16992,17792.16016,-7.02
07/09/2015,17674.82031,18770.50977,17415.60938,18264.2207,2.65
14/09/2015,18341.00977,18468.19922,17925.08984,18070.21094,-1.06
21/09/2015,17803.41016,17880.50977,17483.68945,17880.50977,-1.05
28/09/2015,17811.11914,17886.49023,16901.49023,17725.13086,-0.87
05/10/2015,17921,18438.66992,17869.74023,18438.66992,4.03
12/10/2015,18335.15039,18397.51953,17758.11914,18291.80078,-0.80
19/10/2015,18282.7793,18915.64063,18078.42969,18825.30078,2.92
26/10/2015,19036.13086,19202.33984,18760.78906,19083.09961,1.37
02/11/2015,18827.10938,19294.15039,18641.2207,19265.59961,0.96
09/11/2015,19411.50977,19725.83008,19388.91016,19596.91016,1.72
16/11/2015,19263.96094,19959.06055,19252.03906,19879.81055,1.44
23/11/2015,19875.99023,19994.05078,19786.5293,19883.93945,0.02
30/11/2015,19857.38086,20012.40039,19444.53906,19504.48047,-1.91
07/12/2015,19710.39063,19811.50977,19020.75,19230.48047,-1.40
14/12/2015,18887.08984,19869.08008,18562.50977,18986.80078,-1.27
21/12/2015,18845.5,19071.41016,18651.13086,18769.06055,-1.15
28/12/2015,18838.91016,19113.17969,18764.53906,19033.71094,1.41
04/01/2016,18818.58008,18951.11914,17509.64063,17697.96094,-7.02
11/01/2016,17470.92969,17717.75,16944.41016,17147.10938,-3.11
18/01/2016,16826.92969,17088.31055,16017.25977,16958.5293,-1.10
25/01/2016,17145.81055,17638.92969,16652.25977,17518.30078,3.30
01/02/2016,17699.59961,17905.36914,16627.80078,16819.58984,-3.99
08/02/2016,16620.91016,17099.00977,14865.76953,14952.61035,-11.10
15/02/2016,15248.37988,16341.55957,15243.87988,15967.16992,6.79
22/02/2016,15851.38965,16472.5,15753.76953,16188.41016,1.39
29/02/2016,16313.30957,17042.91992,15857.37012,17014.7793,5.10
07/03/2016,17024.64063,17026.25,16494.80078,16938.86914,-0.45
14/03/2016,17155.51953,17291.34961,16613.68945,16724.81055,-1.26
21/03/2016,16937.31055,17142.08008,16843.99023,17002.75,1.66
28/03/2016,17129.26953,17167.88086,16113.00977,16164.16016,-4.93
04/04/2016,16087.75977,16238.50977,15471.79981,15821.51953,-2.12
11/04/2016,15761.57031,16928.66992,15525.49023,16848.0293,6.49
18/04/2016,16521.25,17572.49023,16254.2002,17572.49023,4.30
25/04/2016,17613.56055,17613.56055,16652.74023,16666.05078,-5.16
02/05/2016,16357.09961,16357.09961,15975.46973,16106.71973,-3.36
09/05/2016,16226.57031,16814.64063,16159.30957,16412.21094,1.90
16/05/2016,16391.91992,16841.03906,16391.91992,16736.34961,1.97
23/05/2016,16671.2793,16957.56055,16417.83984,16834.83984,0.59
30/05/2016,16973.7207,17251.35938,16525.4707,16642.23047,-1.14
06/06/2016,16373.32031,16830.91992,16322.63965,16601.35938,-0.25
13/06/2016,16319.11035,16335.37988,15395.98047,15599.66016,-6.03
20/06/2016,15839.05957,16389.16992,14864.00977,14952.01953,-4.15
27/06/2016,15153.08008,15781.69043,14987.79004,15682.48047,4.89
04/07/2016,15554.04004,15805.30957,15106.51953,15106.98047,-3.67
