Date,Open,High,Low,Close,Volume
23/9/2011,1.38046,1.386,1.3725,1.38,0
26/9/2011,1.3778,1.39,1.3713,1.3778,0
27/9/2011,1.3762,1.3786,1.364,1.3763,0
28/9/2011,1.37123,1.378,1.3696,1.37125,0
29/9/2011,1.3886,1.39322,1.3802,1.3884,0
30/9/2011,1.39105,1.39163,1.377,1.3905,0
3/10/2011,1.3807,1.388,1.375,1.3801,0
4/10/2011,1.3851,1.4076,1.3847,1.3852,0
5/10/2011,1.3938,1.3975,1.383,1.3941,0
6/10/2011,1.3831,1.38557,1.3659,1.38377,0
7/10/2011,1.3782,1.37883,1.366,1.3784,0
10/10/2011,1.3704,1.37145,1.364,1.37016,0
11/10/2011,1.3653,1.37298,1.3644,1.365,0
12/10/2011,1.3697,1.3768,1.353,1.3701,0
13/10/2011,1.35737,1.35905,1.3464,1.35731,0
14/10/2011,1.3525,1.35307,1.3415,1.3524,0
17/10/2011,1.342,1.3453,1.3391,1.3412,0
18/10/2011,1.3509,1.3536,1.34,1.3509,0
19/10/2011,1.3391,1.3433,1.3367,1.339,0
20/10/2011,1.344,1.3484,1.338,1.344,0
21/10/2011,1.3461,1.3493,1.3389,1.3465,0
24/10/2011,1.3413,1.3416,1.327,1.3416,0
25/10/2011,1.3301,1.3331,1.326,1.3303,0
26/10/2011,1.33312,1.3464,1.3325,1.333,0
27/10/2011,1.33455,1.3377,1.3176,1.33451,0
28/10/2011,1.3249,1.3292,1.32,1.32504,0
31/10/2011,1.3247,1.33197,1.314,1.3247,0
1/11/2011,1.31427,1.3294,1.3112,1.314,0
2/11/2011,1.3242,1.3321,1.3192,1.3244,0
3/11/2011,1.3347,1.33887,1.3178,1.3346,0
4/11/2011,1.3268,1.3326,1.3245,1.3268,0
7/11/2011,1.3255,1.3332,1.3253,1.3255,0
8/11/2011,1.3276,1.3363,1.3266,1.32769,0
9/11/2011,1.3319,1.3381,1.329,1.3317,0
10/11/2011,1.3338,1.3434,1.3335,1.33422,0
11/11/2011,1.3402,1.3462,1.3378,1.3403,0
14/11/2011,1.3336,1.338,1.3328,1.3339,0
15/11/2011,1.3353,1.3378,1.3306,1.3349,0
16/11/2011,1.3312,1.33544,1.329,1.3311,0
17/11/2011,1.3367,1.343,1.3342,1.3367,0
18/11/2011,1.3473,1.3528,1.3439,1.3474,0
21/11/2011,1.3538,1.372,1.3535,1.3539,0
22/11/2011,1.3682,1.3747,1.3655,1.3681,0
23/11/2011,1.3724,1.3802,1.3721,1.3722,0
24/11/2011,1.3757,1.3766,1.367,1.3756,0
25/11/2011,1.3732,1.3754,1.3585,1.3732,0
28/11/2011,1.3544,1.3551,1.34,1.3538,0
29/11/2011,1.3441,1.347,1.327,1.3436,0
30/11/2011,1.3301,1.33552,1.3073,1.3297,0
1/12/2011,1.311,1.3227,1.3099,1.3109,0
2/12/2011,1.3171,1.3185,1.3086,1.3173,0
5/12/2011,1.3099,1.31326,1.307,1.3103,0
6/12/2011,1.3049,1.3148,1.3045,1.3049,0
7/12/2011,1.308,1.30846,1.3019,1.308,0
8/12/2011,1.3038,1.30877,1.2959,1.3037,0
9/12/2011,1.3109,1.3224,1.3097,1.3108,0
12/12/2011,1.3096,1.3151,1.309,1.3098,0
13/12/2011,1.3109,1.3118,1.297,1.3108,0
14/12/2011,1.3036,1.3089,1.299,1.3033,0
15/12/2011,1.3111,1.3157,1.3046,1.3109,0
16/12/2011,1.3107,1.3107,1.301,1.3106,0
19/12/2011,1.3082,1.3128,1.3068,1.308,0
20/12/2011,1.3113,1.3116,1.2996,1.3112,0
21/12/2011,1.2983,1.2993,1.2861,1.2982,0
22/12/2011,1.2944,1.2956,1.2866,1.2938,0
23/12/2011,1.2878,1.28928,1.2834,1.288,0
26/12/2011,1.2842,1.2872,1.2838,1.2838,0
27/12/2011,1.2843,1.28827,1.2841,1.2841,0
28/12/2011,1.2875,1.28771,1.2769,1.2878,0
29/12/2011,1.28251,1.28342,1.2762,1.282,0
30/12/2011,1.277,1.2771,1.2683,1.2773,0
2/1/2012,1.2653,1.2695,1.2635,1.2692,0
3/1/2012,1.2617,1.26256,1.2566,1.2619,0
4/1/2012,1.2584,1.26182,1.2502,1.2585,0
5/1/2012,1.2503,1.25402,1.2457,1.2502,0
6/1/2012,1.2473,1.2504,1.2426,1.2471,0
9/1/2012,1.243,1.2501,1.2428,1.2425,0
10/1/2012,1.2455,1.2455,1.2358,1.2454,0
11/1/2012,1.238,1.24053,1.2331,1.2379,0
12/1/2012,1.2327,1.2428,1.2296,1.233,0
13/1/2012,1.2401,1.24445,1.2311,1.24,0
16/1/2012,1.2301,1.23244,1.2264,1.23,0
17/1/2012,1.227,1.2289,1.2226,1.2275,0
18/1/2012,1.2272,1.23706,1.2266,1.2274,0
19/1/2012,1.2342,1.24058,1.2332,1.2344,0
20/1/2012,1.2443,1.24599,1.2336,1.2442,0
23/1/2012,1.23107,1.23688,1.2277,1.231,0
24/1/2012,1.2368,1.2448,1.2357,1.2364,0
25/1/2012,1.2435,1.24533,1.2359,1.2435,0
26/1/2012,1.237,1.23727,1.2311,1.237,0
27/1/2012,1.233,1.236,1.2294,1.2336,0
30/1/2012,1.2417,1.2471,1.2402,1.2414,0
31/1/2012,1.241,1.2412,1.2313,1.2411,0
1/2/2012,1.241,1.2412,1.2309,1.2322,0
2/2/2012,1.2288,1.22969,1.2231,1.2284,0
3/2/2012,1.2269,1.23188,1.2172,1.2271,0
6/2/2012,1.22063,1.22179,1.2177,1.2204,0
7/2/2012,1.2235,1.22497,1.213,1.2231,0
8/2/2012,1.227,1.22872,1.2228,1.22701,0
9/2/2012,1.2278,1.23204,1.2271,1.228,0
10/2/2012,1.2325,1.2415,1.2318,1.2324,0
13/2/2012,1.2361,1.2364,1.2304,1.2357,0
14/2/2012,1.2284,1.23295,1.2275,1.2286,0
15/2/2012,1.2265,1.22888,1.2176,1.2267,0
16/2/2012,1.2214,1.22186,1.2147,1.2213,0
17/2/2012,1.2206,1.2284,1.2165,1.2211,0
20/2/2012,1.2241,1.23249,1.2234,1.2239,0
21/2/2012,1.23148,1.2412,1.2312,1.2315,0
