Date,Open,High,Low,Close,Change
01/08/2011,77.209999,80.225998,76.369003,79.290001,-0.0201
08/08/2011,78.245003,78.389999,76.309998,76.860001,0.0306
15/08/2011,76.819,77.07,76.019997,76.637001,0.0029
22/08/2011,76.779999,77.459999,76.459999,77.434998,-0.0104
29/08/2011,76.697998,77.191002,76.421997,76.860001,0.0074
05/09/2011,76.891998,77.845001,76.68,77.508003,-0.0084
12/09/2011,77.470001,77.580002,76.550003,76.734001,0.0100
19/09/2011,76.910004,76.969002,76.129997,76.306,0.0056
26/09/2011,76.510002,77.129997,76.230003,76.764999,-0.0060
03/10/2011,77.209999,77.231003,76.510002,76.657997,0.0014
10/10/2011,76.769997,77.473,76.356003,76.879997,-0.0029
17/10/2011,77.220001,77.431999,75.959999,76.860001,0.0003
24/10/2011,76.239998,76.434998,75.650002,75.93,0.0121
31/10/2011,75.75,79.519997,75.57,78.053001,-0.0280
07/11/2011,78.160004,78.175003,77.054001,77.652,0.0051
14/11/2011,77.142998,77.323997,76.560997,76.958,0.0089
21/11/2011,76.849998,77.727997,76.739998,77.166,-0.0027
28/11/2011,77.667999,78.278,77.323997,77.75,-0.0076
05/12/2011,78.089996,78.089996,77.163002,77.68,0.0009
12/12/2011,77.610001,78.139999,77.583,77.839996,-0.0021
19/12/2011,77.809998,78.220001,77.681999,78.160004,-0.0041
26/12/2011,78.080002,78.099998,76.769997,77.029999,0.0145
02/01/2012,77.050003,77.308998,76.599998,76.940002,0.0012
09/01/2012,76.932999,77.120003,76.650002,76.889999,0.0006
16/01/2012,76.919998,77.290001,76.569,76.970001,-0.0010
23/01/2012,76.970001,78.279999,76.650002,76.739998,0.0030
30/01/2012,76.730003,76.773003,76.050003,76.543999,0.0026
06/02/2012,76.550003,77.809998,76.488998,77.690002,-0.0150
13/02/2012,77.693001,79.877998,77.389999,79.860001,-0.0279
20/02/2012,79.790001,81.589996,79.366997,81.449997,-0.0199
27/02/2012,81.470001,81.860001,80.031998,81.609001,-0.0020
05/03/2012,81.585999,82.559998,80.585999,82.374001,-0.0094
12/03/2012,82.360001,84.152,81.986,83.431999,-0.0128
19/03/2012,83.440002,84.081001,82.019997,82.519997,0.0109
26/03/2012,82.581001,83.375,81.849998,82.811996,-0.0035
02/04/2012,82.864998,83.280998,81.222,81.222,0.0192
09/04/2012,81.281998,81.839996,80.584,80.863998,0.0044
16/04/2012,80.910004,81.772003,80.330002,81.620003,-0.0093
23/04/2012,81.599998,81.599998,80.220001,80.25,0.0168
30/04/2012,80.349998,80.581001,79.629997,79.790001,0.0057
07/05/2012,79.819,80.071999,79.436996,79.918999,-0.0016
14/05/2012,80.019997,80.540001,78.989998,79.150002,0.0096
21/05/2012,79.161003,80.045998,79.113998,79.550003,-0.0051
28/05/2012,79.592003,79.629997,77.660004,78.150002,0.0176
04/06/2012,78.063004,79.763,77.970001,79.549004,-0.0179
11/06/2012,79.559998,79.735001,78.606003,79.059998,0.0061
18/06/2012,79.066002,80.599998,78.780998,80.553001,-0.0189
25/06/2012,80.567001,80.567001,79.169998,79.875999,0.0084
02/07/2012,79.848999,80.093002,79.305,79.681,0.0024
09/07/2012,79.491997,79.839996,79.115997,79.150002,0.0067
16/07/2012,79.18,79.199997,78.373001,78.449997,0.0088
23/07/2012,78.470001,78.629997,77.970001,78.447998,0.0000
30/07/2012,78.489998,78.760002,77.919998,78.581001,-0.0017
06/08/2012,78.599998,79,78.147003,78.273003,0.0039
13/08/2012,78.25,79.57,78.153,79.491997,-0.0156
20/08/2012,79.519997,79.647003,78.358002,78.660004,0.0105
27/08/2012,78.694,78.838997,78.222,78.314003,0.0044
03/09/2012,78.300003,79.011002,78.024002,78.25,0.0008
10/09/2012,78.242996,78.412003,77.370003,78.345001,-0.0012
17/09/2012,78.328003,79.199997,78.010002,78.110001,0.0030
24/09/2012,78.112999,78.150002,77.431,77.961998,0.0019
01/10/2012,77.959999,78.857002,77.765999,78.693001,-0.0094
08/10/2012,78.691002,78.691002,77.929001,78.43,0.0033
15/10/2012,78.475998,79.443001,78.309998,79.220001,-0.0101
22/10/2012,79.25,80.325996,79.209999,79.629997,-0.0052
29/10/2012,79.611,80.664001,79.283997,80.5,-0.0109
05/11/2012,80.496002,80.561996,79.074997,79.470001,0.0128
12/11/2012,79.463997,81.436996,79.197998,81.412003,-0.0244
19/11/2012,81.555,82.830002,81.078003,82.514999,-0.0135
26/11/2012,82.559998,82.728996,81.707001,82.432999,0.0010
03/12/2012,82.454002,82.805,81.800003,82.544998,-0.0014
10/12/2012,82.57,84.339996,82.117996,84.168999,-0.0197
17/12/2012,84.123001,84.609001,83.599998,84.407997,-0.0028
24/12/2012,84.408997,86.537003,84.314003,85.944,-0.0182
31/12/2012,85.960999,88.380997,85.860001,88.242996,-0.0267
07/01/2013,88.208,89.650002,86.906998,89.515999,-0.0144
14/01/2013,89.491997,90.240997,87.799004,90.204002,-0.0077
21/01/2013,90.174004,91.223,88.050003,91.186996,-0.0109
28/01/2013,91.181,92.884003,90.333,92.800003,-0.0177
04/02/2013,92.772003,94.025002,92.119003,92.519997,0.0030
11/02/2013,92.540001,94.388,92.220001,93.732002,-0.0131
18/02/2013,93.75,94.720001,92.809998,94.181999,-0.0048
25/02/2013,94.231003,94.302002,91.185997,93.529999,0.0069
04/03/2013,93.553001,96.487,92.93,96.190002,-0.0284
11/03/2013,96.184998,96.677002,94.092003,94.839996,0.0140
18/03/2013,94.911003,96.024002,94.221001,94.830002,0.0001
25/03/2013,94.848999,94.949997,93.870003,94.279999,0.0058
01/04/2013,94.262001,98.742996,92.614998,98.429001,-0.0440
08/04/2013,98.785004,99.760002,97.690002,98.389999,0.0004
15/04/2013,98.441002,99.862,96.588997,99.842003,-0.0148
22/04/2013,99.814003,99.879997,97.560997,97.940002,0.0191
29/04/2013,97.863998,99.217003,97.026001,99.151001,-0.0124
06/05/2013,99.106003,101.948997,98.610001,101.827003,-0.0270
13/05/2013,101.940002,103.239998,101.290001,102.814003,-0.0097
20/05/2013,102.732002,103.550003,100.875999,101.199997,0.0157
27/05/2013,101.100998,102.504997,100.277,100.610001,0.0058
03/06/2013,100.473999,100.707001,95.206001,98.356003,0.0224
10/06/2013,98.276001,99.269997,93.824997,94.226997,0.0420
17/06/2013,94.259003,98.343002,94.181,98.341003,-0.0437
24/06/2013,98.419998,99.421997,97.039001,99.379997,-0.0106
01/07/2013,99.411003,101.449997,99.186996,101.353996,-0.0199
08/07/2013,101.372002,101.524002,98.297997,99.230003,0.0210
15/07/2013,99.203003,100.852997,99.072998,100.372002,-0.0115
22/07/2013,100.348999,100.416,97.900002,98.075996,0.0229
29/07/2013,97.981003,99.93,97.591003,98.897003,-0.0084
05/08/2013,98.891998,99.143997,95.806999,96.311996,0.0261
12/08/2013,96.023003,98.600998,96.013,97.720001,-0.0146
19/08/2013,97.664001,99.125,96.900002,98.709999,-0.0101
26/08/2013,98.708,98.828003,96.910004,98.380997,0.0033
02/09/2013,98.353996,100.148003,98.353996,99.890999,-0.0153
09/09/2013,100.018997,100.580002,98.513,98.957001,0.0094
16/09/2013,99.016998,99.650002,98,99.309998,-0.0036
23/09/2013,99.279999,99.293999,97.519997,97.903,0.0142
30/09/2013,97.799004,98.693001,96.968002,97.220001,0.0070
07/10/2013,97.255997,98.559998,96.820999,98.272003,-0.0108
14/10/2013,98.334999,98.978996,97.550003,97.869003,0.0041
21/10/2013,97.962997,98.480003,96.958,97.612999,0.0026
28/10/2013,97.612999,98.832001,97.456001,98.694,-0.0111
04/11/2013,98.704002,99.390999,97.991997,99.167999,-0.0048
11/11/2013,99.197998,100.425003,98.924004,100.339996,-0.0118
18/11/2013,100.333,101.348,99.559998,101.300003,-0.0096
25/11/2013,101.268997,102.582001,101.139,102.484001,-0.0117
02/12/2013,102.484001,103.369003,101.720001,103.186996,-0.0069
09/12/2013,103.107002,103.907997,102.349998,103.258003,-0.0007
16/12/2013,103.25,104.632004,102.638,104.024002,-0.0074
23/12/2013,104.019997,105.352997,103.775002,105.313004,-0.0124
30/12/2013,105.297997,105.43,104.071999,104.873001,0.0042
06/01/2014,104.900002,105.109001,103.865997,103.980003,0.0085
13/01/2014,103.918999,104.917999,103.022003,104.241997,-0.0025
20/01/2014,104.245003,104.813004,101.773003,102.077003,0.0208
27/01/2014,102.072998,103.359001,101.900002,102.169998,-0.0009
03/02/2014,102.237999,102.627998,100.783997,102.540001,-0.0036
10/02/2014,102.481003,102.636002,101.57,101.633003,0.0088
17/02/2014,101.563004,102.799004,101.399002,102.540001,-0.0089
24/02/2014,102.529999,102.665001,101.266998,101.303001,0.0121
03/03/2014,101.329002,103.730003,101.199997,103.232002,-0.0190
10/03/2014,103.182999,103.403,101.209999,101.339996,0.0183
17/03/2014,101.358002,102.530998,101.294998,102.194,-0.0084
24/03/2014,102.261002,102.970001,101.739998,102.904999,-0.0070
31/03/2014,102.855003,104.112999,102.793999,103.343002,-0.0043
07/04/2014,103.323997,103.332001,101.334999,101.454002,0.0183
14/04/2014,101.487999,102.559998,101.415001,102.424004,-0.0096
21/04/2014,102.555,102.723,101.970001,102.167999,0.0025
28/04/2014,102.096001,102.994003,102.051003,102.219002,-0.0005
05/05/2014,102.198997,102.217003,101.428001,101.834,0.0038
12/05/2014,101.870003,102.353996,101.355003,101.499001,0.0033
19/05/2014,101.538002,102.041,100.830002,101.959999,-0.0045
26/05/2014,101.977997,102.123001,101.439003,101.787003,0.0017
02/06/2014,101.870003,102.790001,101.861,102.480003,-0.0068
09/06/2014,102.512001,102.589996,101.720001,102.007004,0.0046
16/06/2014,101.958,102.302002,101.720001,102.094002,-0.0009
23/06/2014,102.099998,102.166,101.309998,101.427002,0.0065
30/06/2014,101.435997,102.258003,101.239998,102.120003,-0.0068
07/07/2014,102.107002,102.192001,101.070999,101.351997,0.0075
14/07/2014,101.349998,101.783997,101.184998,101.348999,0.0000
21/07/2014,101.343002,101.931999,101.190002,101.774002,-0.0042
28/07/2014,101.749001,102.996002,101.746002,102.570999,-0.0078
04/08/2014,102.57,102.916,101.510002,102.123001,0.0044
11/08/2014,102.151001,102.695999,102.016998,102.397003,-0.0027
18/08/2014,102.400002,104.370003,102.239998,104.235001,-0.0179
25/08/2014,104.190002,104.247002,103.559998,104.117996,0.0011
01/09/2014,104.168999,105.575996,104.089996,105.185997,-0.0103
08/09/2014,105.149002,107.392998,104.997002,107.311996,-0.0202
15/09/2014,107.330002,109.446999,106.875999,108.935997,-0.0151
22/09/2014,108.931999,109.473,108.277,109.473,-0.0049
29/09/2014,109.403,110.057999,108.099998,109.839996,-0.0034
06/10/2014,109.778,109.778,107.255997,107.263,0.0235
13/10/2014,107.339996,107.558998,105.5,107.130997,0.0012
20/10/2014,107.125999,108.349998,106.269997,108.216003,-0.0101
27/10/2014,108.151001,112.971001,107.655998,112.834,-0.0427
03/11/2014,112.821999,115.466003,112.589996,114.539001,-0.0151
10/11/2014,114.525002,116.968002,113.875999,116.931,-0.0209
17/11/2014,116.824997,118.969002,115.480003,117.75,-0.0070
24/11/2014,117.730003,118.913002,117.260002,118.825996,-0.0091
01/12/2014,118.874001,121.819,117.889999,121.637001,-0.0237
08/12/2014,121.595001,121.668999,117.470001,118.154999,0.0286
