Date,Open,High,Low,Close,% Change FTSE
09/08/2010,5332.399902,5418.600098,5210.600098,5275.399902,-1.07
16/08/2010,5275.399902,5351.5,5160.399902,5195.299805,-1.52
23/08/2010,5195.299805,5268.399902,5070.899902,5201.600098,0.12
30/08/2010,5201.600098,5454,5129.700195,5428.200195,4.36
06/09/2010,5428.200195,5511.5,5361.399902,5501.600098,1.35
13/09/2010,5501.600098,5612.899902,5501.600098,5508.5,0.13
20/09/2010,5508.5,5635.700195,5471.700195,5598.5,1.63
27/09/2010,5598.5,5650.299805,5506.100098,5592.899902,-0.10
04/10/2010,5592.899902,5707.299805,5550.600098,5657.600098,1.16
11/10/2010,5657.600098,5770.899902,5597.5,5703.399902,0.81
18/10/2010,5703.399902,5786.700195,5670.100098,5741.399902,0.67
25/10/2010,5741.399902,5794.299805,5630.899902,5675.200195,-1.15
01/11/2010,5675.200195,5899.399902,5667.399902,5875.399902,3.53
08/11/2010,5875.399902,5902.100098,5711.700195,5796.899902,-1.34
15/11/2010,5796.899902,5832.899902,5659.700195,5732.799805,-1.11
22/11/2010,5732.799805,5783.100098,5573.299805,5668.700195,-1.12
29/11/2010,5668.700195,5784.299805,5519.200195,5745.299805,1.35
06/12/2010,5745.299805,5850.399902,5728.5,5813,1.18
13/12/2010,5813,5907.100098,5812.899902,5871.799805,1.01
20/12/2010,5871.799805,6008.899902,5865.5,6008.899902,2.33
27/12/2010,6008.899902,6021.5,5899.899902,5899.899902,-1.81
03/01/2011,5899.899902,6090.5,5899.899902,5984.299805,1.43
10/01/2011,5984.299805,6055.5,5939.899902,6002.100098,0.30
17/01/2011,6002.100098,6077.100098,5867.299805,5896.299805,-1.76
24/01/2011,5896.299805,6003.299805,5877.899902,5881.399902,-0.25
31/01/2011,5881.399902,6023.399902,5815.399902,5997.399902,1.97
07/02/2011,5997.399902,6091.299805,5973.399902,6062.899902,1.09
14/02/2011,6062.899902,6101.399902,6023.799805,6083,0.33
21/02/2011,6083,6105.799805,5861,6001.200195,-1.34
28/02/2011,6001.200195,6052.100098,5865.899902,5990.399902,-0.18
07/03/2011,5990.399902,6043.100098,5796.399902,5828.700195,-2.70
14/03/2011,5828.700195,5842,5591.600098,5718.100098,-1.90
21/03/2011,5718.100098,5918.700195,5718.100098,5900.799805,3.20
28/03/2011,5900.799805,6014.799805,5879.899902,6009.899902,1.85
04/04/2011,6009.899902,6066.399902,5987.700195,6055.799805,0.76
11/04/2011,6055.799805,6070.799805,5943.799805,5996,-0.99
18/04/2011,5996,6049.399902,5858.299805,6018.299805,0.37
25/04/2011,6018.299805,6091.799805,6007,6069.899902,0.86
02/05/2011,6069.899902,6103.700195,5871.600098,5976.799805,-1.53
09/05/2011,5976.799805,6040.200195,5882.399902,5925.899902,-0.85
16/05/2011,5925.899902,6017.600098,5860.700195,5948.5,0.38
23/05/2011,5948.5,5951.399902,5810.5,5938.899902,-0.16
30/05/2011,5938.899902,6010,5802.700195,5855,-1.41
06/06/2011,5855,5890.600098,5758.299805,5765.799805,-1.52
13/06/2011,5765.799805,5822.600098,5644.399902,5714.899902,-0.88
20/06/2011,5714.899902,5789.100098,5647.200195,5697.700195,-0.30
27/06/2011,5697.700195,5999,5679.600098,5989.799805,5.13
04/07/2011,5989.799805,6084.100098,5973.799805,5990.600098,0.01
11/07/2011,5990.600098,5998.600098,5793,5843.700195,-2.45
18/07/2011,5843.700195,5966.799805,5752.799805,5935,1.56
25/07/2011,5935,5951.299805,5772.399902,5815.200195,-2.02
01/08/2011,5815.200195,5913.5,5202.600098,5247,-9.77
08/08/2011,5247,5320,4791,5320,1.39
15/08/2011,5320,5377.200195,4929.600098,5040.799805,-5.25
22/08/2011,5040.799805,5254.200195,4993.299805,5129.899902,1.77
29/08/2011,5129.899902,5449.700195,5129.899902,5292,3.16
05/09/2011,5292,5369.799805,5086.799805,5214.700195,-1.46
12/09/2011,5214.700195,5406.100098,5059.200195,5368.399902,2.95
19/09/2011,5368.399902,5377.399902,4928.100098,5066.799805,-5.62
26/09/2011,5066.799805,5314.299805,4974,5128.5,1.22
03/10/2011,5128.5,5370.899902,4868.600098,5303.399902,3.41
10/10/2011,5303.399902,5501.399902,5303.399902,5466.399902,3.07
17/10/2011,5466.399902,5543.700195,5348.600098,5488.700195,0.41
24/10/2011,5488.700195,5747.299805,5465.5,5702.200195,3.89
31/10/2011,5702.200195,5702.200195,5338.399902,5527.200195,-3.07
07/11/2011,5527.200195,5616,5360.200195,5545.399902,0.33
