Date,Open,High,Low,Close,% Change AEX
01/02/2010,325.940002,335.679993,313.839996,315.040009,-3.92
08/02/2010,317.690002,320.23999,311.529999,315.73999,0.22
15/02/2010,317.700012,325.769989,315.040009,325.600006,3.12
22/02/2010,327,327.549988,313.350006,317.73999,-2.41
01/03/2010,320.75,338.679993,320.100006,338.679993,6.59
08/03/2010,340.209991,342.290009,336.309998,339.570007,0.26
15/03/2010,338.829987,343.76001,334.910004,338.649994,-0.27
22/03/2010,337.579987,346,334,343.809998,1.52
29/03/2010,344.029999,351.459991,342.160004,351.440002,2.22
05/04/2010,353.140015,356.25,349.51001,355.890015,1.27
12/04/2010,358.049988,358.200012,349.220001,349.75,-1.73
19/04/2010,348.880005,356.75,346.970001,353.380005,1.04
26/04/2010,356.929993,358.230011,341.950012,345.910004,-2.11
03/05/2010,345.410004,348.859985,307.709991,312.350006,-9.7
10/05/2010,323.910004,340.049988,322.359985,327.23999,4.77
17/05/2010,324.100006,333.029999,306.290009,313.410004,-4.23
24/05/2010,315.799988,324.029999,301.480011,320.640015,2.31
31/05/2010,320.059998,331.299988,314.470001,321.220001,0.18
07/06/2010,315.700012,327.309998,311.820007,325.559998,1.35
14/06/2010,328.859985,336.910004,328.570007,336.059998,3.23
21/06/2010,341.549988,343.320007,325.26001,325.98999,-3
28/06/2010,327.329987,331.040009,306.420013,308.200012,-5.46
05/07/2010,309.220001,325.940002,306.269989,324.420013,5.26
12/07/2010,325.700012,336.730011,322.700012,323.98999,-0.13
19/07/2010,322.329987,338.130005,317.309998,337.140015,4.06
26/07/2010,339.730011,340.589996,327.339996,330.640015,-1.93
02/08/2010,333.299988,341,329.76001,331.190002,0.17
09/08/2010,334.559998,336.559998,321.26001,323.920013,-2.2
16/08/2010,324.5,330.269989,317.459991,318.019989,-1.82
23/08/2010,318.329987,320.920013,308.470001,317.040009,-0.31
30/08/2010,318.640015,332.480011,311.049988,329.350006,3.88
06/09/2010,331.279999,335.23999,324.910004,334.959991,1.7
13/09/2010,338.73999,339.399994,333.769989,334.540009,-0.13
20/09/2010,336.269989,342.350006,329.380005,337.850006,0.99
27/09/2010,338.910004,340.98999,332.269989,333.779999,-1.2
04/10/2010,334.029999,339.170013,328.609985,336.529999,0.82
11/10/2010,337.290009,344.440002,332.369995,341.450012,1.46
18/10/2010,339.899994,343.309998,337.730011,341.070007,-0.11
25/10/2010,343.269989,344.230011,335.329987,337.230011,-1.13
01/11/2010,339.649994,348.429993,337.390015,346.899994,2.87
08/11/2010,346.959991,348.820007,339.329987,343.200012,-1.07
15/11/2010,341.670013,346.869995,338.589996,344.579987,0.4
22/11/2010,347.01001,347.399994,332.670013,336.26001,-2.41
29/11/2010,337.75,343.619995,325.140015,342.190002,1.76
06/12/2010,343.049988,350.859985,340.609985,350.209991,2.34
13/12/2010,351.149994,353.279999,349.320007,352.049988,0.53
20/12/2010,352.200012,357.089996,351.970001,355.920013,1.1
27/12/2010,355.76001,358.799988,353.100006,354.570007,-0.38
03/01/2011,357.910004,360.869995,352.559998,356.440002,0.53
10/01/2011,355.5,362.410004,353.630005,361.320007,1.37
17/01/2011,361.730011,364.410004,354.679993,361.049988,-0.07
24/01/2011,360.970001,365.079987,358.119995,361.160004,0.03
31/01/2011,360.01001,368.899994,357.269989,365.51001,1.2
07/02/2011,366.390015,371.299988,366.079987,369.649994,1.13
14/02/2011,371.660004,374.190002,369.01001,374.190002,1.23
21/02/2011,373.26001,374.019989,362.959991,366.769989,-1.98
28/02/2011,366.73999,372.200012,363.559998,367.950012,0.32
07/03/2011,366.25,370.230011,358.269989,359.070007,-2.41
14/03/2011,357.23999,359.320007,343.200012,350.410004,-2.41
21/03/2011,355.390015,365.399994,354.309998,364.649994,4.06
28/03/2011,364.309998,369.609985,362.899994,369.450012,1.32
04/04/2011,368.390015,371.100006,366.100006,366.940002,-0.68
11/04/2011,366.450012,367.809998,357.450012,359,-2.16
18/04/2011,359.059998,360.570007,350.790009,359.01001,0
25/04/2011,357.429993,361.51001,357.109985,359.940002,0.26
