Date,Open,High,Low,Close,% Change ISEQ
23/07/2012,3206,3206,3048.219971,3145.889893,-1.87
30/07/2012,3146.76001,3200.25,3130.77002,3177.060059,0.99
06/08/2012,3176.429932,3244.399902,3162.790039,3240.610107,2.00
13/08/2012,3239.27002,3247.219971,3158.870117,3201.23999,-1.21
20/08/2012,3200.100098,3213.040039,3140.959961,3148.370117,-1.65
27/08/2012,3148.370117,3168.97998,3126.100098,3160.790039,0.39
03/09/2012,3159.969971,3276.219971,3143.459961,3261.899902,3.20
10/09/2012,3260.76001,3315.870117,3224.699951,3303.129883,1.26
17/09/2012,3301.949951,3351.77002,3264.330078,3343.550049,1.22
24/09/2012,3344.379883,3344.379883,3262.01001,3278.280029,-1.95
01/10/2012,3281,3346.699951,3266.340088,3339.310059,1.86
08/10/2012,3339.310059,3339.310059,3221.889893,3241.72998,-2.92
15/10/2012,3239.409912,3278.070068,3236.959961,3240.23999,-0.05
22/10/2012,3240.23999,3253.649902,3186.22998,3241.840088,0.05
29/10/2012,3242.27002,3322.719971,3226.959961,3313.040039,2.20
05/11/2012,3346.620117,3382.77002,3270.580078,3294.570068,-0.56
12/11/2012,3294.810059,3306.090088,3178.070068,3178.070068,-3.54
19/11/2012,3178.699951,3265.580078,3178.699951,3263.75,2.70
26/11/2012,3263.75,3304.379883,3240.379883,3290.27002,0.81
03/12/2012,3290.27002,3350.040039,3276.110107,3347.77002,1.75
10/12/2012,3341.949951,3360.610107,3315.570068,3327.689941,-0.60
17/12/2012,3327.169922,3407.73999,3303.949951,3388.389893,1.82
24/12/2012,3388.389893,3399.97998,3360.179932,3366.22998,-0.65
31/12/2012,3366.870117,3501.419922,3361.860107,3497.429932,3.90
07/01/2013,3497.939941,3526.73999,3468.580078,3481.47998,-0.46
14/01/2013,3480.360107,3501.97998,3445.810059,3479.689941,-0.05
21/01/2013,3479.860107,3559.320068,3465.129883,3553.090088,2.11
28/01/2013,3553.290039,3615.72998,3526.01001,3572.850098,0.56
04/02/2013,3572.850098,3610.780029,3507.52002,3606.23999,0.93
