Date,Open,High,Low,Close,% Change OMX
01/08/2011,1081.160034,1087.180054,901.01001,947.780029,-11.09
08/08/2011,927.22998,960.330017,860.409973,957.590027,1.04
15/08/2011,966.539978,969.369995,851.140015,877.429993,-8.37
22/08/2011,867.73999,934.369995,867.73999,904.320007,3.06
29/08/2011,919.590027,966.080017,907.909973,932.099976,3.07
05/09/2011,912.289978,925.27002,875.119995,884.599976,-5.10
12/09/2011,862.539978,939.140015,853.47998,927.150024,4.81
19/09/2011,912.690002,919,833.030029,862.349976,-6.99
26/09/2011,848.25,931.719971,846.179993,910.169983,5.55
03/10/2011,892.429993,933.580017,855.73999,918.280029,0.89
10/10/2011,925.01001,965.450012,921.049988,956.390015,4.15
17/10/2011,963.119995,969.599976,926.590027,965.200012,0.92
24/10/2011,969.599976,1037.430054,964.409973,1025.719971,6.27
31/10/2011,1015.450012,1021.080017,940.950012,987.159973,-3.76
07/11/2011,970.070007,984.73999,925.210022,976.51001,-1.08
14/11/2011,983.150024,985.47998,935.960022,941.25,-3.61
21/11/2011,934.75,934.940002,872.929993,889.219971,-5.53
28/11/2011,899.52002,981.73999,899.359985,974.47998,9.59
05/12/2011,983.200012,992.030029,946.679993,963.25,-1.15
12/12/2011,960.650024,968.76001,932.109985,937.690002,-2.65
19/12/2011,931.179993,982.080017,927.469971,982.080017,4.73
26/12/2011,983.309998,988.159973,966.940002,987.849976,0.59
02/01/2012,986.013,1018.799988,980.945007,1002.179993,1.45
09/01/2012,998.840027,1025.22998,994.179993,1009,0.68
16/01/2012,1000.48999,1041.540039,1000.059998,1033.300049,2.41
23/01/2012,1033.089966,1051.410034,1018.780029,1041.400024,0.78
30/01/2012,1034.130005,1083.150024,1021.77002,1078.660034,3.58
06/02/2012,1077.380005,1084.589966,1058.5,1065.369995,-1.23
13/02/2012,1073.439941,1101.560059,1067.140015,1099.550049,3.21
20/02/2012,1104.469971,1113.449951,1085.329956,1100.01001,0.04
27/02/2012,1095.47998,1109.780029,1082.25,1105.109985,0.46
05/03/2012,1101.319946,1101.569946,1054.930054,1089.800049,-1.39
12/03/2012,1087.170044,1127.540039,1084.380005,1123.349976,3.08
19/03/2012,1121.25,1122.439941,1068.27002,1084.290039,-3.48
